Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RHJKfTDtCJ_12oizT9jLiOcAAAGKGMJ5eAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCKV9A4/https://www.amazon.in/stores/page/BCF7AA48-B792-49F6-898D-ADEB25ED5FB6/?_encoding=UTF8&store_ref=SB_A02461542TLCACOY1JF7G&pd_rd_plhdr=t&aaxitk=532b18fd49c2772424529cf6898e459d&hsa_cr_id=6408141620802&lp_asins=B097L4GWB3%2CB07FZN5K3N&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=lebxO&content-id=amzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7%3Aamzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_p=bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_r=B4XFT0W6MR48N80N6EHJ&pd_rd_wg=ls1YR&pd_rd_r=2fc8e3a4-f212-4f27-9422-e9c5157ff5db,N/A,"₹2,009.00",N/A,N/A
N/A,N/A,N/A,N/A,Price and other details may vary based on product size and colour.
https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-65,N/A,₹959,3.7,"1,053",N/A,N/A,N/A,N/A
https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-66,N/A,₹394,3.9,613,N/A,N/A,N/A,N/A
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-67,N/A,₹630,4.0,589,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D3YR7T/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-68,N/A,₹399,4.2,115,N/A,N/A,N/A,N/A
https://www.amazon.in/ROZEN-School-partition-Collage-Backpack/dp/B0BRTDXVZC/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-69,N/A,₹697,4.0,199,N/A,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C6N3MYL2/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-70,N/A,₹649,3.6,229,N/A,N/A,N/A,N/A
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-71,N/A,₹269,4.0,"3,839",N/A,N/A,N/A,N/A
https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B28M2RN/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-72,N/A,₹709,4.0,560,N/A,N/A,N/A,N/A
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-73,N/A,₹499,3.9,"4,122",N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-74,N/A,₹674,4.1,"1,244",N/A,N/A,N/A,N/A
https://www.amazon.in/Fur-Jaden-Camping-Rucksack-Backpack/dp/B07PMWMN19/ref=sr_1_75?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-75,N/A,₹249,3.6,"7,975",N/A,N/A,N/A,N/A
https://www.amazon.in/HP-Lightweight-200-Green-Backpack/dp/B08CY1XYFL/ref=sr_1_76?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-76,N/A,"₹1,646",4.3,278,N/A,N/A,N/A,N/A
https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-77,N/A,"₹1,586",4.5,"2,616",N/A,N/A,N/A,N/A
https://www.amazon.in/Genie-Snowflake-School-Backpack-resistant/dp/B084VR37RQ/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-78,N/A,"₹1,104",4.3,"1,191",N/A,N/A,N/A,N/A
https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-79,N/A,₹735,4.1,"2,683",N/A,N/A,N/A,N/A
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1692632512&sprefix=ba%252Caps%252C283&sr=8-80,N/A,₹819,3.9,"10,094",N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RCi7a9MODipO_kLrzrex44cAAAGKGMJ5dAMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDMvoYK/https://www.amazon.in/dp/B09QL66G55?pd_rd_i=B09QL66G55&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=B4XFT0W6MR48N80N6EHJ&pd_rd_wg=bZe7t&pd_rd_w=jzqOU&pd_rd_r=4796cb79-f44c-403b-ad95-198afda4083f,N/A,₹599,4.0,"1,609"
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=WvT1z&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B4XFT0W6MR48N80N6EHJ&pd_rd_wg=bZe7t&pd_rd_r=4796cb79-f44c-403b-ad95-198afda4083f&qid=1692632512,N/A,N/A,N/A,"
                                                    bags for girls
                                                ",N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RHYkYZGDUSBpI22fsPGOVs4AAAGKGMJ6ZwMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICASmg7U/https://www.amazon.in/stores/page/423336D6-E5A2-4A82-94A4-1BFE27DB8491/?_encoding=UTF8&store_ref=SB_A09138173D9TZ2WIMTWBE&pd_rd_plhdr=t&aaxitk=a16b04afae11576bf3b61a16b31e4e4f&hsa_cr_id=0&lp_asins=B07QHLBBPM&lp_query=bags&lp_slot=desktop-hsa-3psl&ref_=sbx_be_s_3psl_mbd_mb0_bkgd&pd_rd_w=ip15d&content-id=amzn1.sym.f1a4d09d-a292-48da-a86f-03294c9a41ef%3Aamzn1.sym.f1a4d09d-a292-48da-a86f-03294c9a41ef&pf_rd_p=f1a4d09d-a292-48da-a86f-03294c9a41ef&pf_rd_r=B4XFT0W6MR48N80N6EHJ&pd_rd_wg=vVcTO&pd_rd_r=ea09dbd4-c3e8-414f-8b2b-f63567d70425,N/A,N/A,N/A,Wide Range Of Backpacks For Women And Girls
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or ,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RJy70OUimucVzaPi8jxHnnAAAAGKGMKDHQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBIogVK/https://www.amazon.in/stores/page/BCF7AA48-B792-49F6-898D-ADEB25ED5FB6/?_encoding=UTF8&store_ref=SB_A02461542TLCACOY1JF7G&pd_rd_plhdr=t&aaxitk=532b18fd49c2772424529cf6898e459d&hsa_cr_id=6408141620802&lp_asins=B097L4GWB3%2CB07FZN5K3N&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=BVweW&content-id=amzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7%3Aamzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_p=bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_r=K5QRW7RTTBN844GQ6CFJ&pd_rd_wg=JXljq&pd_rd_r=4de28ee1-cbb8-4f5f-ad39-43a72811c118,N/A,"₹2,009.00",N/A,N/A
N/A,N/A,N/A,N/A,Price and other details may vary based on product size and colour.
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-81,N/A,₹512,3.9,710,N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-82,N/A,₹674,4.1,"1,244",N/A,N/A,N/A,N/A
https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-83,N/A,₹512,4.0,"6,453",N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RMK8XQnfUTaXDdw8u4-0EBQAAAGKGMKDEgMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBTaHZR/https://www.amazon.in/dp/B07SRGGGNC/?_encoding=UTF8&pd_rd_i=B07SRGGGNC&ref_=sbv_search_btf&pd_rd_w=xweSe&content-id=amzn1.sym.69a9d8c7-1563-43e8-bc18-abd50d05a73a%3Aamzn1.sym.69a9d8c7-1563-43e8-bc18-abd50d05a73a&pf_rd_p=69a9d8c7-1563-43e8-bc18-abd50d05a73a&pf_rd_r=K5QRW7RTTBN844GQ6CFJ&pd_rd_wg=65NgD&pd_rd_r=3a529462-4bf1-4bec-8a6d-06ff962d30fc&pd_rd_plhdr=t,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-84,N/A,₹679,4.0,"5,603",N/A,N/A,N/A,N/A
https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9FLPNX/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-85,N/A,₹269,3.1,71,N/A,N/A,N/A,N/A
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-86,N/A,"₹2,559",4.1,572,N/A,N/A,N/A,N/A
https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-87,N/A,₹979,4.2,"20,843",N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-88,N/A,₹979,4.4,"6,587",N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-89,N/A,₹979,4.4,"4,386",N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-90,N/A,₹803,4.2,"1,484",N/A,N/A,N/A,N/A
https://www.amazon.in/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22/ref=sr_1_91?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-91,N/A,₹697,4.0,199,N/A,N/A,N/A,N/A
https://www.amazon.in/Aristocrat-Ltrs-Black-Rucksack-Duro/dp/B07VB76WL9/ref=sr_1_92?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-92,N/A,"₹1,500",4.0,343,N/A,N/A,N/A,N/A
https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFX8ZZ/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-93,N/A,"₹1,699",4.4,"2,311",N/A,N/A,N/A,N/A
https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-94,N/A,₹999,4.4,"4,566",N/A,N/A,N/A,N/A
https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-95,N/A,₹778,4.0,"13,643",N/A,N/A,N/A,N/A
https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1692632515&sprefix=ba%252Caps%252C283&sr=8-96,N/A,₹903,4.4,"17,083",N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RMnDyZieR4iupCwfP3xz1aAAAAGKGMKDCgMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBAZwOY/https://www.amazon.in/dp/B09QL66G55?pd_rd_i=B09QL66G55&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=K5QRW7RTTBN844GQ6CFJ&pd_rd_wg=TwB4o&pd_rd_w=Lhe7h&pd_rd_r=5c8e6229-5e17-4e17-bc0b-a99de28edd1d,N/A,₹599,4.0,"1,609"
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=ZKegk&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=K5QRW7RTTBN844GQ6CFJ&pd_rd_wg=TwB4o&pd_rd_r=5c8e6229-5e17-4e17-bc0b-a99de28edd1d&qid=1692632515,N/A,N/A,N/A,"
                                                    bags for girls
                                                ",N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RPzS16Zad8uTuZvaDpzsDnwAAAGKGMKEGgMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICA3c5OJ/https://www.amazon.in/stores/page/423336D6-E5A2-4A82-94A4-1BFE27DB8491/?_encoding=UTF8&store_ref=SB_A09138173D9TZ2WIMTWBE&pd_rd_plhdr=t&aaxitk=a16b04afae11576bf3b61a16b31e4e4f&hsa_cr_id=0&lp_asins=B07QHLBBPM&lp_query=bags&lp_slot=desktop-hsa-3psl&ref_=sbx_be_s_3psl_mbd_mb0_bkgd&pd_rd_w=mqozL&content-id=amzn1.sym.f1a4d09d-a292-48da-a86f-03294c9a41ef%3Aamzn1.sym.f1a4d09d-a292-48da-a86f-03294c9a41ef&pf_rd_p=f1a4d09d-a292-48da-a86f-03294c9a41ef&pf_rd_r=K5QRW7RTTBN844GQ6CFJ&pd_rd_wg=WAnq0&pd_rd_r=7a086634-fe63-456f-8b19-939e440cb2ca,N/A,N/A,N/A,Wide Range Of Backpacks For Women And Girls
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or ,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RB6LggGCUuQD8N-2dO5VIDcAAAGKGMKMTgMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICA1yNO-/https://www.amazon.in/stores/page/BCF7AA48-B792-49F6-898D-ADEB25ED5FB6/?_encoding=UTF8&store_ref=SB_A02461542TLCACOY1JF7G&pd_rd_plhdr=t&aaxitk=532b18fd49c2772424529cf6898e459d&hsa_cr_id=6408141620802&lp_asins=B097L4GWB3%2CB07FZN5K3N&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=Z0zDh&content-id=amzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7%3Aamzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_p=bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_r=FD4ZBKC6QN9X6QAV3SQV&pd_rd_wg=9TJbt&pd_rd_r=70db6e4a-339e-4ed3-ad51-a581b36d0e1d,N/A,"₹2,009.00",N/A,N/A
N/A,N/A,N/A,N/A,Price and other details may vary based on product size and colour.
https://www.amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-97,N/A,₹979,4.0,578,N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-98,N/A,₹744,4.3,446,N/A,N/A,N/A,N/A
https://www.amazon.in/Genie-Heartbeat-compartments-Lightweight-Travelling/dp/B097JJFF6Z/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-99,N/A,₹753,4.4,294,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-100,N/A,"₹1,349",4.1,"1,426",N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Resitant-Backpack-Daypack-College/dp/B0C3MMX619/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-101,N/A,"₹1,199",3.8,4,N/A,N/A,N/A,N/A
https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99/ref=sr_1_102?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-102,N/A,₹479,3.9,"10,361",N/A,N/A,N/A,N/A
